gamma,re_phi_m,full_conv2_exponent,lambda_exact_interp,abs_gap_to_exact,seed_full_interp,seed_abs_gap_to_exact,delta_re_vs_seed,re43_minus_re46,im43_plus_im46,mean_im_mod_abs,physically_feasible
-4.525,9.058966447208388e-07,-0.6896084691033554,-0.6896263283850457,1.7859281690291162e-05,-2.083946275187746,1.3943199468027003,1.394337806084391,1.3956827739532163e-08,1.5812069260845237e-16,4.440892098500626e-16,True
-4.545,8.782250458439197e-07,-0.6896084967749543,-0.6896243865079399,1.5889732985607807e-05,-2.0926608911851545,1.4030365046772146,1.4030523944102007,1.3712636733750829e-08,7.536342958163949e-16,6.661338147750939e-16,True
-4.575,8.376725599149655e-07,-0.6896085373274402,-0.6896216401727218,1.3102845281554032e-05,-2.1055616721212966,1.4159400319485749,1.4159531347938568,-1.3317841090159212e-08,-3.879154850072709e-15,1.7763568394002505e-15,True
-4.595,8.113138529390902e-07,-0.6896085636861471,-0.6896199154759208,1.1351789773739185e-05,-2.1140464807263264,1.4244265652504056,1.4244379170401795,-1.3039551157191238e-08,2.6240927014691563e-15,1.3322676295501878e-15,True
-4.635,7.603113733091414e-07,-0.6896086146886268,-0.6896167070166052,8.092327978381775e-06,-2.130733461434535,1.4411167544179295,1.4411248467459083,1.2457189239251988e-08,4.344932844601111e-15,2.220446049250313e-15,True
-4.655,7.356965558853645e-07,-0.6896086393034442,-0.6896152174220853,6.5781186411317805e-06,-2.1389334707968737,1.4493182533747884,1.4493248314934295,1.2157084267860863e-08,4.977626976895163e-16,2.220446049250313e-16,True
-4.675,7.116857972742146e-07,-0.6896086633142028,-0.6896138005668494,5.137252646614243e-06,-2.14703640107145,1.457422600504601,1.4574277377572475,1.1853324312114202e-08,4.845220580517915e-16,4.440892098500626e-16,True
-4.695,6.882848656305664e-07,-0.6896086867151344,-0.6896124538317894,3.76711665495133e-06,-2.155041196106762,1.4654287422749728,1.4654325093916278,1.1547418937704937e-08,1.0679446979579488e-15,1.7763568394002505e-15,True
-4.715,6.654967488653978e-07,-0.6896087095032513,-0.689611174706294,2.4652030427008143e-06,-2.1629468099799443,1.4733356352736502,1.473338100476693,1.1240679132369083e-08,-2.9078293162841463e-16,2.220446049250313e-16,True
-4.735,6.43321932765643e-07,-0.6896087316780674,-0.6896099607829925,1.2291049251711428e-06,-2.1707522070745497,1.481142246291557,1.481143475396483,-1.0934263929587807e-08,-2.329630194871025e-15,1.9984014443252818e-15,True
-4.755,6.217587134032675e-07,-0.6896087532412867,-0.6896088097527656,5.6511478940812765e-08,-2.178456362157905,1.4888475524051397,1.4888476089166187,1.0629195725680735e-08,2.830703147265619e-17,4.440892098500626e-16,True
-4.785,5.905522301684262e-07,-0.68960878444777,-0.6896071963097581,1.5881380118765165e-06,-2.189820549077329,1.500213352767571,1.5002117646295594,1.0176091249283607e-08,-1.0859410296256329e-16,4.440892098500626e-16,True
-4.845,5.321585499597223e-07,-0.6896088428414501,-0.6896043510515476,4.491789902472121e-06,-2.211845229670908,1.5222408786193604,1.522236386829458,-9.294739928067462e-09,3.730084832689532e-15,1.7763568394002505e-15,True
-4.865,5.138541025546355e-07,-0.6896088611458975,-0.6896035086183729,5.3525275245380755e-06,-2.2189746989459564,1.5293711903275835,1.5293658378000592,-9.010366165607597e-09,-9.648278123039282e-16,8.881784197001252e-16,True
-4.915,4.705330840637326e-07,-0.689608904466916,-0.6896016174507714,7.287016144608138e-06,-2.236325349606323,1.5467237321555514,1.5467164451394073,8.323842658971594e-09,1.6098210407918235e-15,8.881784197001252e-16,True
-4.945,4.4615542648772575e-07,-0.6896089288445736,-0.6896006218625521,8.306982021477616e-06,-2.2464067053003167,1.5568060834377646,1.5567977764557435,-7.930012701529187e-09,6.402177973608591e-16,1.5543122344752192e-15,True
-4.975,4.229378348808876e-07,-0.6896089520621652,-0.6895997242063463,9.227855818916275e-06,-2.256237501389497,1.5666377771831508,1.5666285493273324,-7.550542189265375e-09,9.76048882224747e-16,8.881784197001252e-16,True
-4.995,4.080823832880307e-07,-0.6896089669176168,-0.6895991777432459,9.789174370888887e-06,-2.262650667319612,1.573051489576366,1.5730417004019952,7.305731822564339e-09,1.1844781149970404e-15,4.440892098500626e-16,True
